symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PIIND,EQ,-,1,Dividend - Rs 10 Per Share,07-Aug-2025,07-Aug-2025,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Interim Dividend - Rs 6 Per Share,14-Feb-2025,14-Feb-2025,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Dividend - Rs 9 Per Share,20-Aug-2024,20-Aug-2024,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Annual General Meeting,20-Aug-2024,-,21-Aug-2024,27-Aug-2024,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Interim Dividend - Rs 6 Per Share,21-Feb-2024,21-Feb-2024,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Annual General Meeting/Dividend - Rs  5.50 Per Share,11-Aug-2023,-,12-Aug-2023,17-Aug-2023,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Interim Dividend - Rs  4.5 Per Share,24-Feb-2023,24-Feb-2023,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Annual General Meeting/Dividend - Rs  3 Per Share,25-Aug-2022,-,27-Aug-2022,03-Sep-2022,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1,Interim Dividend - Rs 3 Per Share,14-Feb-2022,15-Feb-2022,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting/Dividend - Rs 2 Per Share,06-Sep-2021,-,08-Sep-2021,14-Sep-2021,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Interim Dividend - Rs 3 Per Share,11-Feb-2021,12-Feb-2021,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting/Dividend - Re 1 Per Share,17-Sep-2020,-,19-Sep-2020,25-Sep-2020,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Interim Dividend - Rs 3 Per Share,24-Feb-2020,25-Feb-2020,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting/Dividend - Rs 1.5 Per Share,29-Aug-2019,-,03-Sep-2019,09-Sep-2019,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Interim Dividend - Rs 2.50 Per Share,09-Nov-2018,12-Nov-2018,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting/Dividend- Rs 2.50 Per Share,30-Jul-2018,-,01-Aug-2018,06-Aug-2018,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Interim Dividend - Rs 1.50 Per Share,09-Nov-2017,10-Nov-2017,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting/Dividend - Rs 2.50 Per Share,30-Aug-2017,-,01-Sep-2017,06-Sep-2017,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Interim Dividend Rs 1.50 Per Share (Record Date Revised),16-Nov-2016,17-Nov-2016,-,-,-,PI Industries Limited,INE603J01014,-,
PIIND,EQ,-,1, Annual General Meeting,31-Aug-2016,-,02-Sep-2016,09-Sep-2016,-,PI Industries Limited,INE603J01014,-,
