symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PNB,EQ,-,2,Dividend - Rs 2.90 Per Share,20-Jun-2025,20-Jun-2025,-,-,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Dividend - Rs 1.50 Per Share,21-Jun-2024,22-Jun-2024,-,-,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting,21-Jun-2024,-,23-Jun-2024,29-Jun-2024,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting/Dividend - Rs  0.65 Per Share,23-Jun-2023,-,24-Jun-2023,30-Jun-2023,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting/Dividend - Rs 0.64 Per Share,22-Jun-2022,-,24-Jun-2022,30-Jun-2022,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,16-Jul-2021,-,20-Jul-2021,26-Jul-2021,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,27-Jul-2020,-,29-Jul-2020,04-Aug-2020,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,04-Jul-2019,-,08-Jul-2019,12-Jul-2019,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,10-Sep-2018,-,12-Sep-2018,18-Sep-2018,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,21-Jun-2017,-,23-Jun-2017,29-Jun-2017,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2, Annual General Meeting,23-Jun-2016,-,25-Jun-2016,30-Jun-2016,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting/ Dividend - Rs 3.30/- Per Share,22-Jun-2015,-,24-Jun-2015,30-Jun-2015,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Dec-2014,19-Dec-2014,-,-,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting,20-Jun-2014,-,24-Jun-2014,30-Jun-2014,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Interim Dividend Rs.10/- Per Share,11-Feb-2014,12-Feb-2014,-,-,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting / Final Dividend Rs.27 Per Equity Share,13-Jun-2013,-,15-Jun-2013,29-Jun-2013,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting And Dividend Rs.22/- Per Share,14-Jun-2012,-,16-Jun-2012,26-Jun-2012,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting And Dividend Rs.22/- Per Share,16-Jun-2011,-,18-Jun-2011,27-Jun-2011,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Annual General Meeting And Final Dividend Rs.12/- Per Share,08-Jul-2010,-,10-Jul-2010,21-Jul-2010,-,Punjab National Bank,INE160A01014,-,
PNB,EQ,-,2,Int Div-Rs.10/- Per Share,04-Feb-2010,06-Feb-2010,-,-,-,Punjab National Bank,INE160A01014,-,
