symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
POWERGRID,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,10-Nov-2025,10-Nov-2025,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Dividend - Rs 1.25 Per Share,19-Aug-2025,19-Aug-2025,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 3.25 Per Share,07-Feb-2025,07-Feb-2025,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,14-Nov-2024,14-Nov-2024,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Annual General Meeting/Dividend - Rs 2.75 Per Share,16-Aug-2024,16-Aug-2024,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,15-Feb-2024,15-Feb-2024,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 4 Per Share,16-Nov-2023,16-Nov-2023,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Bonus 1:3,12-Sep-2023,12-Sep-2023,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Dividend - Rs 4.75 Per Share,08-Aug-2023,08-Aug-2023,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 5 Per Share,08-Feb-2023,08-Feb-2023,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 5 Per Share,14-Nov-2022,15-Nov-2022,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Annual General Meeting/Dividend - Rs 2.25 Per Share,19-Aug-2022,22-Aug-2022,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 5.50 Per Share,16-Feb-2022,17-Feb-2022,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10,Interim Dividend - Rs 4 Per Share/ Special Dividend - Rs 3 Per Share,22-Dec-2021,23-Dec-2021,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Annual General Meeting/Dividend - Rs 3 Per Share,08-Sep-2021,-,10-Sep-2021,24-Sep-2021,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Bonus 1:3,29-Jul-2021,30-Jul-2021,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Interim Dividend - Rs 4 Per Share,08-Mar-2021,09-Mar-2021,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Interim Dividend - Rs 5 Per Share,17-Dec-2020,19-Dec-2020,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Annual General Meeting/Dividend - Rs 4.04 Per Share,02-Sep-2020,-,04-Sep-2020,22-Sep-2020,-,Power Grid Corporation of India Limited,INE752E01010,-,
POWERGRID,EQ,-,10, Interim Dividend - Rs 5.96 Per Share,16-Mar-2020,17-Mar-2020,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
