symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
RECLTD,EQ,-,10,Interim Dividend - Rs 4.60 Per Share,27-Oct-2025,27-Oct-2025,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Dividend - Rs 2.60 Per Share,14-Aug-2025,14-Aug-2025,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 4.60 Per Share,01-Aug-2025,01-Aug-2025,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 3.60 Per Share,26-Mar-2025,26-Mar-2025,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 4.30 Per Share,14-Feb-2025,14-Feb-2025,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 4 Per Share,08-Nov-2024,08-Nov-2024,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,09-Aug-2024,09-Aug-2024,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Dividend - Rs 5 Per Share,28-Jun-2024,28-Jun-2024,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 4.50 Per Share,28-Mar-2024,28-Mar-2024,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 3.50 Per Share,13-Nov-2023,13-Nov-2023,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 3 Per Share,14-Aug-2023,14-Aug-2023,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Dividend - Rs 4.35 Per Share,14-Jul-2023,14-Jul-2023,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 3.25 Per Share,09-Feb-2023,09-Feb-2023,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 5 Per Share,07-Nov-2022,09-Nov-2022,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Bonus 1:3,17-Aug-2022,18-Aug-2022,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Dividend - Rs 4.80 Per Share,12-Jul-2022,13-Jul-2022,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10,Interim Dividend - Rs 6 Per Share,15-Feb-2022,16-Feb-2022,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10, Interim Dividend - Rs 2.50 Per Share,11-Nov-2021,12-Nov-2021,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10, Dividend - Rs 1.71 Per Share,16-Sep-2021,17-Sep-2021,-,-,-,REC Limited,INE020B01018,-,
RECLTD,EQ,-,10, Interim Dividend - Rs 2 Per Share,13-Aug-2021,17-Aug-2021,-,-,-,REC Limited,INE020B01018,-,
