symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
RELIANCE,EQ,-,10,Dividend - Rs 5.5 Per Share,14-Aug-2025,14-Aug-2025,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Bonus 1:1,28-Oct-2024,28-Oct-2024,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend - Rs 10 Per Share,19-Aug-2024,19-Aug-2024,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend - Rs 9 Per Share,21-Aug-2023,21-Aug-2023,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Demerger,20-Jul-2023,20-Jul-2023,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend - Rs 8 Per Share,18-Aug-2022,19-Aug-2022,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Dividend - Rs 7 Per Share,11-Jun-2021,14-Jun-2021,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Dividend - Rs 6.50  Per Share,02-Jul-2020,03-Jul-2020,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Rights 1:15 @ Premium Rs 1247,13-May-2020,14-May-2020,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Annual General Meeting/Dividend - Rs 6.50 Per Share,02-Aug-2019,05-Aug-2019,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Dividend- Rs 6 Per Share,27-Jun-2018,28-Jun-2018,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Bonus 1:1,07-Sep-2017,09-Sep-2017,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Dividend -  Rs 11/- Per Share,13-Jul-2017,14-Jul-2017,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10, Interim Dividend - Rs 10.50/- Per Share (Purpose Revised),17-Mar-2016,18-Mar-2016,-,-,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend - Rs 10/- Per Share,08-May-2015,-,12-May-2015,15-May-2015,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend Rs. 9.50 Per Equity Share,16-May-2014,-,20-May-2014,23-May-2014,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Annual General Meeting/ Dividend Rs. 9 Per Equity Share,10-May-2013,-,14-May-2013,18-May-2013,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Annual General Meeting And Dividend Rs.8.50 Per Share,31-May-2012,-,02-Jun-2012,07-Jun-2012,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend-Rs.8/- Per Share,05-May-2011,-,09-May-2011,14-May-2011,-,Reliance Industries Limited,INE002A01018,-,
RELIANCE,EQ,-,10,Dividend Rs 7 Per Share,10-May-2010,-,12-May-2010,19-May-2010,-,Reliance Industries Limited,INE002A01018,-,
