symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
RVNL,EQ,-,10,Dividend - Rs 1.72 Per Share,21-Aug-2025,21-Aug-2025,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10,Annual General Meeting/Dividend - Rs 2.11 Per Share,23-Sep-2024,-,24-Sep-2024,30-Sep-2024,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10,Annual General Meeting/Dividend - Re 0.36 Per Share,20-Sep-2023,-,21-Sep-2023,27-Sep-2023,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10,Interim Dividend - Rs  1.77 Per Share,06-Apr-2023,06-Apr-2023,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10,Annual General Meeting/Dividend - Rs  0.25 Per Share,22-Sep-2022,-,24-Sep-2022,30-Sep-2022,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10,Interim Dividend Re 1.58 Per Share,24-Mar-2022,25-Mar-2022,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10, Annual General Meeting/Dividend - Rs 0.44 Per Share,30-Nov-2021,-,02-Dec-2021,08-Dec-2021,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10, Interim Dividend - Rs 1.14 Per Share,08-Apr-2021,09-Apr-2021,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10, Dividend - Rs 1.14 Per Share,08-Dec-2020,09-Dec-2020,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
RVNL,EQ,-,10, Dividend - Rs 0.09 Per Share,06-Sep-2019,10-Sep-2019,-,-,-,Rail Vikas Nigam Limited,INE415G01027,-,
