symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
SBIN,EQ,-,1,Dividend - Rs 15.90 Per Share,16-May-2025,16-May-2025,-,-,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend - Rs 13.70 Per Share,22-May-2024,22-May-2024,-,-,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend - Rs 11.30 Per Share,31-May-2023,-,01-Jun-2023,05-Jun-2023,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend - Rs 7.10 Per Share,25-May-2022,-,27-May-2022,31-May-2022,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1, Dividend - Rs 4 Per Share,03-Jun-2021,04-Jun-2021,-,-,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1, Annual General Meeting/ Change In Registrar And Transfer Agent,15-Jun-2018,-,19-Jun-2018,28-Jun-2018,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1, Dividend - Rs 2.60 Per Share (Purpose Revised),26-May-2017,-,30-May-2017,03-Jun-2017,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1, Dividend - Rs 2.60/- Per Share,03-Jun-2016,-,07-Jun-2016,11-Jun-2016,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend - Rs 3.50/- Per Share (Purpose Revised),28-May-2015,-,30-May-2015,03-Jun-2015,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Face Value Split Rs.10/- To Re.1/- Per Share,20-Nov-2014,21-Nov-2014,-,-,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Annual General Meeting And Dividend Rs 15 Per Share (Purpose Revised),29-May-2014,-,31-May-2014,04-Jun-2014,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Interim Dividend Rs 15 Per Share,11-Mar-2014,-,13-Mar-2014,17-Mar-2014,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend Rs 41.50 Per Share (Purpose Revised),28-May-2013,-,30-May-2013,03-Jun-2013,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Annual General Meeting And Dividend Rs 35 Per Share (Purpose Revised),24-May-2012,-,26-May-2012,31-May-2012,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend-Rs.30/- Per Share (Purpose Revised),20-May-2011,-,24-May-2011,28-May-2011,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Final Dividend-Rs.20/- Per Share (Purpose Revised),09-Jun-2010,-,11-Jun-2010,16-Jun-2010,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Int Div-Rs.10/- Per Share,05-Feb-2010,-,09-Feb-2010,13-Feb-2010,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Dividend-Rs.29/ Per Share,10-Jun-2009,-,12-Jun-2009,19-Jun-2009,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Div-Rs.21.50 Per Share,29-May-2008,-,02-Jun-2008,11-Jun-2008,-,State Bank of India,INE062A01012,-,
SBIN,EQ,-,1,Rights-Eq 1:5@Prem Rs1580,28-Jan-2008,04-Feb-2008,-,-,28-Jan-2008,State Bank of India,INE062A01012,01-Feb-2008,
