symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
SHREECEM,EQ,-,10,Interim Dividend - Rs 80 Per Share,03-Nov-2025,03-Nov-2025,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Dividend - Rs 60 Per Share,21-Jul-2025,21-Jul-2025,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Interim Dividend - Rs 50 Per Share,05-Feb-2025,05-Feb-2025,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Dividend - Rs 55 Per Share,23-Jul-2024,23-Jul-2024,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Interim Dividend - Rs 50 Per Share,08-Feb-2024,08-Feb-2024,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Interim Dividend - Rs 55 Per Share,01-Jun-2023,01-Jun-2023,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Interim Dividend - Rs   45 Per Share,16-Feb-2023,16-Feb-2023,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Dividend - Rs 45 Per Share,13-Jul-2022,14-Jul-2022,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10,Interim Dividend - Rs 45 Per Share,10-Feb-2022,12-Feb-2022,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Dividend - Rs 60 Per Share,22-Jul-2021,24-Jul-2021,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Interim Dividend - Rs 110 Per Share,24-Feb-2020,25-Feb-2020,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Dividend - Rs 35 Per Share,31-Jul-2019,-,02-Aug-2019,09-Aug-2019,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Interim Dividend - Rs 25 Per Share,29-Jan-2019,30-Jan-2019,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Dividend- Rs 30 Per Share,20-Jul-2018,-,24-Jul-2018,30-Jul-2018,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Interim Dividend - Rs 20 Per Share (Purpose Revised),18-Jan-2018,19-Jan-2018,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Dividend - Rs 24 Per Share,21-Jul-2017,-,25-Jul-2017,31-Jul-2017,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Special Dividend Rs 100/- Per Share (Purpose Revised),06-Feb-2017,07-Feb-2017,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Interim Dividend - Rs 16/- Per Share (Purpose Revised),22-Aug-2016,23-Aug-2016,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Annual General Meeting,04-Aug-2016,-,08-Aug-2016,12-Aug-2016,-,SHREE CEMENT LIMITED,INE070A01015,-,
SHREECEM,EQ,-,10, Interim Dividend - Rs 12/- Per Share (Pupose Revised),17-Mar-2016,18-Mar-2016,-,-,-,SHREE CEMENT LIMITED,INE070A01015,-,
