symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
SIEMENS,EQ,-,2,Demerger,07-Apr-2025,07-Apr-2025,-,-,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend - Rs 12 Per Share,30-Jan-2025,30-Jan-2025,-,-,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend - Rs 10 Per Share,30-Jan-2024,-,31-Jan-2024,13-Feb-2024,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend - Rs 10 Per Share,31-Jan-2023,-,01-Feb-2023,14-Feb-2023,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend - Rs 8 Per Share,20-Jan-2022,-,22-Jan-2022,04-Feb-2022,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Dividend - Rs 7 Per Share,27-Jan-2021,-,29-Jan-2021,12-Feb-2021,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Dividend - Rs 7 Per Share,03-Feb-2020,-,05-Feb-2020,11-Feb-2020,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Dividend- Rs 7/- Per Share,28-Jan-2019,-,30-Jan-2019,06-Feb-2019,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Dividend- Rs 7/- Per Share,25-Jan-2018,-,30-Jan-2018,06-Feb-2018,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Dividend - Rs 6/- Per Share,31-Jan-2017,-,02-Feb-2017,08-Feb-2017,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Interim Dividend - Rs 27.50/- Per Share,12-Aug-2016,17-Aug-2016,-,-,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2, Final Dividend Rs 6/- Plus Special Dividend Rs 4/- Per Share,21-Jan-2016,-,23-Jan-2016,29-Jan-2016,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Annual General Meeting/Final Dividend - Rs 6/- Per Share,14-Jan-2015,-,16-Jan-2015,30-Jan-2015,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Annual General Meeting / Dividend - Rs 5/- Per Share,15-Jan-2014,-,17-Jan-2014,30-Jan-2014,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Annual General Meeting / Dividend Rs. 6/- Per Share,16-Jan-2013,-,18-Jan-2013,31-Jan-2013,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend - Rs.6/- Per Share,16-Jan-2012,-,18-Jan-2012,31-Jan-2012,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend-Rs.5/- Per Share,18-Jan-2011,-,20-Jan-2011,28-Jan-2011,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Dividend-Rs.5/- Per Share,19-Jan-2010,-,21-Jan-2010,29-Jan-2010,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Agm/Dividend - 150%,14-Jan-2009,-,16-Jan-2009,30-Jan-2009,-,Siemens Limited,INE003A01024,-,
SIEMENS,EQ,-,2,Bonus 1:1,29-Feb-2008,03-Mar-2008,-,-,-,Siemens Limited,INE003A01024,-,
