symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
SRF,EQ,-,10,Interim Dividend - Rs 4 Per Sh,29-Jul-2025,29-Jul-2025,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 3.6 Per Sh,04-Feb-2025,04-Feb-2025,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 3.60 Per Share,31-Jul-2024,31-Jul-2024,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 3.60 Per Share,07-Feb-2024,07-Feb-2024,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 3.60 Per Share,01-Aug-2023,01-Aug-2023,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 3.60 Per Share,07-Feb-2023,07-Feb-2023,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend- Rs 3.60 Per Share,28-Jul-2022,29-Jul-2022,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10,Interim Dividend - Rs 4.75 Per Share,03-Feb-2022,04-Feb-2022,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Bonus 4:1,13-Oct-2021,14-Oct-2021,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 12 Per Share,05-Aug-2021,06-Aug-2021,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 19 Per Share,29-Jan-2021,01-Feb-2021,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 5 Per Share,06-Aug-2020,07-Aug-2020,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 7 Per Share,10-Feb-2020,11-Feb-2020,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 7 Per Share,13-Aug-2019,14-Aug-2019,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Annual General Meeting,26-Jul-2019,-,30-Jul-2019,05-Aug-2019,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend - Rs 6 Per Share,11-Feb-2019,12-Feb-2019,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend- Rs 6 Per Share (Purpose Revised),14-Aug-2018,16-Aug-2018,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Annual General Meeting,30-Jul-2018,-,01-Aug-2018,07-Aug-2018,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend Rs 6/- Per Share (Purpose Revised),15-Feb-2018,16-Feb-2018,-,-,-,SRF Limited,INE647A01010,-,
SRF,EQ,-,10, Interim Dividend,16-Aug-2017,18-Aug-2017,-,-,-,SRF Limited,INE647A01010,-,
