symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TATAELXSI,EQ,-,10,Dividend - Rs 75 Per Share,11-Jun-2025,11-Jun-2025,-,-,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend - Rs 70 Per Share,25-Jun-2024,-,26-Jun-2024,10-Jul-2024,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend - Rs  60.60 Per Share,22-Jun-2023,-,23-Jun-2023,04-Jul-2023,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend - Rs 42.5 Per Share,15-Jun-2022,-,17-Jun-2022,23-Jun-2022,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/Dividend - Rs 24 Per Share/Special Dividend - Rs 24 Per Share,17-Jun-2021,-,19-Jun-2021,25-Jun-2021,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/Dividend - Rs 16.50 Per Share,13-Jul-2020,-,15-Jul-2020,21-Jul-2020,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/Dividend Rs 13.50 Per Share,08-Jul-2019,-,10-Jul-2019,17-Jul-2019,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/Dividend- Rs 11 Per Share,16-Jul-2018,-,18-Jul-2018,25-Jul-2018,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Bonus 1:1,18-Sep-2017,19-Sep-2017,-,-,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/Dividend - Rs 16 Per Share,18-Jul-2017,-,20-Jul-2017,27-Jul-2017,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10, Annual General Meeting/ Dividend -Rs 14/- Per Share,15-Jul-2016,-,19-Jul-2016,26-Jul-2016,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend Rs 11/- Per Share,15-Jul-2015,-,17-Jul-2015,24-Jul-2015,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting / Dividend - Rs 9/- Per Share,09-Jul-2014,-,11-Jul-2014,18-Jul-2014,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting / Dividend - Rs 5/- Per Share,12-Jul-2013,-,16-Jul-2013,23-Jul-2013,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend Rs 7 Per Share,13-Jul-2012,-,17-Jul-2012,24-Jul-2012,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Annual General Meeting/Dividend Rs 7 Per Share,08-Jul-2011,-,12-Jul-2011,22-Jul-2011,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Dividend-Rs.7/- Per Share,12-Jul-2010,-,14-Jul-2010,26-Jul-2010,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Agm/Div-Rs.7/- Per Share,21-Aug-2009,-,25-Aug-2009,07-Sep-2009,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Agm/Dividend - 70%,09-Jul-2008,-,11-Jul-2008,22-Jul-2008,-,Tata Elxsi Limited,INE670A01012,-,
TATAELXSI,EQ,-,10,Agm/Dividend-70%,13-Jul-2007,-,17-Jul-2007,27-Jul-2007,-,Tata Elxsi Limited,INE670A01012,-,
