symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TATASTEEL,EQ,-,1,Dividend - Rs 3.60 Per Share,06-Jun-2025,06-Jun-2025,-,-,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Dividend - Rs 3.60 Per Share,21-Jun-2024,21-Jun-2024,-,-,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting/Dividend - Rs 3.60 Per Share,22-Jun-2023,-,23-Jun-2023,05-Jul-2023,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,28-Jul-2022,29-Jul-2022,-,-,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting/Dividend - Rs  51 Per Share,15-Jun-2022,-,17-Jun-2022,28-Jun-2022,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Annual General Meeting/Dividend - Rs 25 Per Share,17-Jun-2021,-,19-Jun-2021,30-Jun-2021,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Dividend - Rs 10 Per Share,06-Aug-2020,-,08-Aug-2020,20-Aug-2020,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Annual General Meeting/Dividend - Rs 13 Per Share,04-Jul-2019,-,06-Jul-2019,19-Jul-2019,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Annual General Meeting / Dividend- Rs 10 Per Share,05-Jul-2018,-,07-Jul-2018,20-Jul-2018,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Rights - 4:25 Fully Paid Up Shares @ Premium Rs 500/- Per Share / 2:25 Partly Paid Up Shares @ Premium Rs 605/- Per Share,31-Jan-2018,01-Feb-2018,-,-,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Annual General Meeting/Dividend - Rs 10/- Per Share,20-Jul-2017,-,22-Jul-2017,08-Aug-2017,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1, Annual General Meeting/Dividend Rs 8/- Per Share,28-Jul-2016,-,30-Jul-2016,12-Aug-2016,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting / Dividend - Rs. 8/- Per Share,23-Jul-2015,-,25-Jul-2015,12-Aug-2015,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting / Dividend - Rs.10/- Per Ordinary Share,14-Jul-2014,-,16-Jul-2014,22-Jul-2014,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting / Dividend - Rs.8/- Per Ordinary Share,15-Jul-2013,-,17-Jul-2013,23-Jul-2013,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting/Dividend Rs 12 Per Share,16-Jul-2012,-,18-Jul-2012,24-Jul-2012,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting/Dividend Rs 12 Per Share,04-Jul-2011,-,06-Jul-2011,12-Jul-2011,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Annual General Meeting And Dividend Rs.8/- Per Share,12-Jul-2010,-,14-Jul-2010,20-Jul-2010,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Agm/Div-Rs.16/- Per Share,06-Jul-2009,-,08-Jul-2009,14-Jul-2009,-,Tata Steel Limited,INE081A01012,-,
TATASTEEL,EQ,-,1,Agm/Dividend - 160%,18-Jul-2008,-,22-Jul-2008,31-Jul-2008,-,Tata Steel Limited,INE081A01012,-,
