symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TCS,EQ,-,1,Interim Dividend - Rs 11 Per Share,15-Oct-2025,15-Oct-2025,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 11 Per Share,16-Jul-2025,16-Jul-2025,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Dividend - Rs 30 Per Share,04-Jun-2025,04-Jun-2025,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 10 Per Share Special Dividend - Rs 66 Per Share,17-Jan-2025,17-Jan-2025,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 10 Per Share,18-Oct-2024,18-Oct-2024,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 10 Per Share,19-Jul-2024,20-Jul-2024,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Dividend - Rs 28 Per Share,16-May-2024,16-May-2024,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share,19-Jan-2024,19-Jan-2024,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Buy Back,24-Nov-2023,25-Nov-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 9 Per Share,19-Oct-2023,19-Oct-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 9 Per Share,20-Jul-2023,20-Jul-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Dividend - Rs 24 Per Share,15-Jun-2023,15-Jun-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share,16-Jan-2023,17-Jan-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 8 Per Share,17-Oct-2022,18-Oct-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend- Rs 8 Per Share,14-Jul-2022,16-Jul-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Dividend - Rs 22 Per Share,25-May-2022,26-May-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Buyback,22-Feb-2022,23-Feb-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1,Interim Dividend - Rs 7 Per Share,19-Jan-2022,20-Jan-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1, Interim Dividend - Rs 7 Per Share,14-Oct-2021,19-Oct-2021,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
TCS,EQ,-,1, Interim Dividend - Rs 7 Per Share,15-Jul-2021,16-Jul-2021,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
