symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TITAN,EQ,-,1,Dividend - Rs 11 Per Share,08-Jul-2025,08-Jul-2025,-,-,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting/Dividend - Rs 11 Per Share,27-Jun-2024,-,28-Jun-2024,12-Jul-2024,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting/Dividend - Rs 10 Per Share,13-Jul-2023,-,14-Jul-2023,01-Aug-2023,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting/Dividend - Rs 7.50 Per Share,08-Jul-2022,-,12-Jul-2022,26-Jul-2022,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Annual General Meeting/Dividend - Rs 4 Per Share,22-Jul-2021,-,24-Jul-2021,02-Aug-2021,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Annual General Meeting/Dividend - Rs 4 Per Share,03-Aug-2020,-,05-Aug-2020,11-Aug-2020,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Annual General Meeting/ Dividend - Rs 5 Per Share,29-Jul-2019,-,31-Jul-2019,06-Aug-2019,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Annual General Meeting/Dividend- Rs 3.75 Per Share,23-Jul-2018,-,25-Jul-2018,03-Aug-2018,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Dividend - Rs 2.60 Per Share,24-Jul-2017,-,26-Jul-2017,03-Aug-2017,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Annual General Meeting,22-Jul-2016,-,26-Jul-2016,03-Aug-2016,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1, Interim Dividend - Rs 2.20/- Per Share (Purpose Revised),22-Mar-2016,24-Mar-2016,-,-,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting/Dividend - Rs 2.30/- Per Share,17-Jul-2015,-,21-Jul-2015,31-Jul-2015,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting / Dividend - Rs 2.10/- Per Share,15-Jul-2014,-,17-Jul-2014,01-Aug-2014,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting/Dividend Rs 2.10/- Per Share,16-Jul-2013,-,18-Jul-2013,01-Aug-2013,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Annual General Meeting /Dividend Rs. 1.75 Per Share,13-Jul-2012,-,17-Jul-2012,31-Jul-2012,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Dividend-Rs.1.25 Per Share,22-Jul-2011,-,26-Jul-2011,28-Jul-2011,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,23-Jun-2011,24-Jun-2011,-,-,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Dividend-Rs.15/- Per Share,09-Jul-2010,-,13-Jul-2010,27-Jul-2010,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Agm/Div-Rs.10/- Per Share,10-Jul-2009,-,14-Jul-2009,27-Jul-2009,-,Titan Company Limited,INE280A01010,-,
TITAN,EQ,-,1,Agm/Dividend - 80%,15-Jul-2008,-,17-Jul-2008,31-Jul-2008,-,Titan Company Limited,INE280A01010,-,
