symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TORNTPHARM,EQ,-,5,Dividend - Rs 6 Per Share,20-Jun-2025,20-Jun-2025,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Interim Dividend - Rs 26 Per Sh,31-Jan-2025,01-Feb-2025,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Dividend - Rs 6 Per Share,21-Jun-2024,21-Jun-2024,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Interim Dividend - Rs 22 Per Share,12-Feb-2024,12-Feb-2024,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Dividend - Rs 8 Per Share,23-Jun-2023,23-Jun-2023,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Interim Dividend - Rs 14 Per Share,03-Feb-2023,03-Feb-2023,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Bonus 1:1,08-Jul-2022,11-Jul-2022,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Interim Dividend - Rs 25 Per Share,02-Feb-2022,03-Feb-2022,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Dividend - Rs 15 Per Share,17-Jun-2021,18-Jun-2021,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend - Rs 20 Per Share,15-Feb-2021,16-Feb-2021,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend - Rs 17 Per Share Special Dividend - Rs 15 Per Share,18-Mar-2020,19-Mar-2020,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Dividend Rs 4 Per Share,13-Jun-2019,14-Jun-2019,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend - Rs 13 Per Share,06-Feb-2019,07-Feb-2019,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Dividend- Rs 5 Per Share,18-Jun-2018,-,20-Jun-2018,22-Jun-2018,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend Rs 9/- Per Share (Purpose Revised),15-Feb-2018,19-Feb-2018,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Dividend - Rs 4/- Per Share,19-Jun-2017,-,21-Jun-2017,23-Jun-2017,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend Rs 10/- Per Share (Purpose Revised),10-Feb-2017,13-Feb-2017,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend - Rs 15/- Per Share (Purpose Revised),16-Mar-2016,17-Mar-2016,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5, Interim Dividend - Rs 20/- Per Share (Purpose Revised),11-Feb-2016,12-Feb-2016,-,-,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
TORNTPHARM,EQ,-,5,Dividend - Rs 6.25/- Per Share,15-Jun-2015,-,17-Jun-2015,19-Jun-2015,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
