symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TRENT,EQ,-,1,Dividend - Rs 5 Per Share,12-Jun-2025,12-Jun-2025,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Dividend - Rs 3.20 Per Share,22-May-2024,22-May-2024,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Dividend - Rs 2.20 Per Share,25-May-2023,25-May-2023,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Dividend- Rs 1.1 Per Share,20-May-2022,23-May-2022,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Interim Dividend - Rs 0.60 Per Share,22-Feb-2022,23-Feb-2022,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting/Dividend - Re 0.60 Per Share,09-Jul-2021,-,13-Jul-2021,15-Jul-2021,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting/Dividend - Re 1 Per Share,24-Jul-2020,-,28-Jul-2020,30-Jul-2020,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting/Dividend - Rs 1.30 Per Share,19-Jul-2019,-,23-Jul-2019,25-Jul-2019,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting/Dividend- Rs 1.15 Per Share,27-Jul-2018,-,31-Jul-2018,02-Aug-2018,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting/Dividend - Re 1/- Per Share,19-Jul-2017,-,21-Jul-2017,25-Jul-2017,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Face Value Split From Rs 10 To Re 1,12-Sep-2016,14-Sep-2016,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Annual General Meeting,01-Aug-2016,-,03-Aug-2016,05-Aug-2016,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1, Interim Dividend - Rs 9/- Per Share (Purpose Revised),17-Mar-2016,19-Mar-2016,-,-,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting/Final Dividend Rs.7.50/- Per Share/Special Dividend Rs.2.50/- Per Share,27-Jul-2015,-,29-Jul-2015,31-Jul-2015,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting / Dividend - Rs 7/- Per Share,04-Aug-2014,-,06-Aug-2014,08-Aug-2014,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting/Dividend Rs 7/- Per Equity Share,15-Jul-2013,-,17-Jul-2013,19-Jul-2013,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting/ Dividend Rs 6.50 Per Share,23-Jul-2012,-,25-Jul-2012,27-Jul-2012,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting And Dividend Rs.7.50 Per Share,18-Jul-2011,-,20-Jul-2011,22-Jul-2011,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,Annual General Meeting And Dividend Rs.6.50 Per Share,09-Aug-2010,-,11-Aug-2010,12-Aug-2010,-,Trent Limited,INE849A01012,-,
TRENT,EQ,-,1,4 Ccps (2 Series A Ccps And 2 Series B Ccps) Issued @ Premium Of Rs 540 Per Ccps For 9 Eq Shares,08-Jul-2010,10-Jul-2010,-,-,-,Trent Limited,INE849A01012,-,
