symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TVSMOTOR,EQ,-,1,Scheme Of Arrangement - Bonus Ncrps 4:1,25-Aug-2025,25-Aug-2025,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Interim Dividend - Rs 10 Per Share,26-Mar-2025,26-Mar-2025,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Interim Dividend - Rs 8 Per Share,19-Mar-2024,19-Mar-2024,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Interim Dividend - Rs 5 Per Share,02-Feb-2023,02-Feb-2023,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Interim Dividend - Rs 3.75 Per Share,25-Mar-2022,28-Mar-2022,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,30-Mar-2021,02-Apr-2021,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs  2.10 Per Share,04-Feb-2021,05-Feb-2021,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,17-Mar-2020,18-Mar-2020,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 2.10 Per Share,11-Feb-2020,12-Feb-2020,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,18-Mar-2019,19-Mar-2019,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 2.10 Per Share,30-Oct-2018,31-Oct-2018,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 1.30 Per Share (Purpose Revised),06-Mar-2018,07-Mar-2018,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 2/- Per Share (Purpose Revised),08-Nov-2017,09-Nov-2017,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend Rs 1.25 Per Share (Purpose Revised),14-Mar-2017,15-Mar-2017,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend Rs 1.25 Per Share (Purpose Revised),03-Nov-2016,05-Nov-2016,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Rs 1.50 Per Share (Purpose Revised),17-Mar-2016,19-Mar-2016,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1, Interim Dividend - Re 1/- Per Share (Purpose Revised),04-Feb-2016,06-Feb-2016,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Annual General Meeting,24-Jul-2015,-,28-Jul-2015,29-Jul-2015,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Second Interim Dividend - Rs 1.15 Per Share (Purpose Revised),05-May-2015,06-May-2015,-,-,-,TVS Motor Company Limited,INE494B01015,-,
TVSMOTOR,EQ,-,1,Interim Dividend - Re 0.75/- Per Share (Purpose Revised),06-Feb-2015,09-Feb-2015,-,-,-,TVS Motor Company Limited,INE494B01015,-,
