symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
UPL,EQ,-,2,Dividend - Rs 6 Per Share,11-Jul-2025,11-Jul-2025,-,-,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Rights 1:8 @ Premium Rs 358/-,26-Nov-2024,26-Nov-2024,-,-,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Dividend - Re 1 Per Share,12-Aug-2024,-,13-Aug-2024,27-Aug-2024,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting/Dividend - Rs 10 Per Share,03-Aug-2023,-,04-Aug-2023,18-Aug-2023,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Dividend - Rs 10 Per Share,27-Jul-2022,-,29-Jul-2022,12-Aug-2022,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Dividend - Rs 10 Per Share,14-Jul-2021,-,16-Jul-2021,04-Aug-2021,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Dividend - Rs 6 Per Sh,19-Aug-2020,-,21-Aug-2020,31-Aug-2020,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Bonus 1:2,02-Jul-2019,03-Jul-2019,-,-,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Dividend - Rs 8 Per Share,28-May-2019,29-May-2019,-,-,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Annual General Meeting/Dividend- Rs 8 Per Share,09-Aug-2018,-,11-Aug-2018,23-Aug-2018,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Annual General Meeting/Dividend-Rs 7 Per Share,22-Jun-2017,-,24-Jun-2017,08-Jul-2017,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2, Annual General Meeting/ Dividend - Rs 5/- Per Share,16-Jun-2016,-,18-Jun-2016,29-Jun-2016,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting/Dividend - Rs 5/- Per Share,16-Jul-2015,-,18-Jul-2015,30-Jul-2015,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting/Dividend Rs.4/- Per Share,07-Aug-2014,-,09-Aug-2014,22-Aug-2014,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting / Dividend - Rs 2.50/- Per Share,04-Jul-2013,-,06-Jul-2013,19-Jul-2013,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting/ Dividend Of Rs.0.50/- Per Share,12-Jul-2012,-,14-Jul-2012,27-Jul-2012,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Interim Dividend Rs.2/- Per Share (Purpose Revised),03-Apr-2012,07-Apr-2012,-,-,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting And Dividend Rs.2/- Per Share,14-Jul-2011,-,16-Jul-2011,26-Jul-2011,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Annual General Meeting And Dividend Rs.2/- Per Share,26-Aug-2010,-,28-Aug-2010,08-Sep-2010,-,UPL Limited,INE628A01036,-,
UPL,EQ,-,2,Agm/Div-Rs.1.50 Per Share,03-Sep-2009,-,05-Sep-2009,18-Sep-2009,-,UPL Limited,INE628A01036,-,
