symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
VBL,EQ,-,2,Interim Dividend - Re 0.50 Per Share,01-Aug-2025,02-Aug-2025,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Interim Dividend - Re 0.50 Per Share,07-May-2025,07-May-2025,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Dividend - Re 0.50 Per Share,04-Apr-2025,04-Apr-2025,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share,12-Sep-2024,12-Sep-2024,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Interim Dividend - Rs 1.25 Per Sh,09-Aug-2024,09-Aug-2024,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Dividend - Rs 1.25 Per Share,04-Apr-2024,04-Apr-2024,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Annual General Meeting,26-Mar-2024,-,27-Mar-2024,03-Apr-2024,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Interim Dividend - Rs 1.25 Per Share,14-Aug-2023,16-Aug-2023,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,15-Jun-2023,15-Jun-2023,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Dividend - Re 1 Per Share,12-Apr-2023,12-Apr-2023,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Annual General Meeting,17-Mar-2023,-,20-Mar-2023,27-Mar-2023,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Interim Dividend - Rs 2.50 Per Share,11-Aug-2022,12-Aug-2022,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Bonus 1:2,06-Jun-2022,07-Jun-2022,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2,Annual General Meeting,29-Mar-2022,-,31-Mar-2022,07-Apr-2022,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Interim Dividend - Rs 2.50 Per Share,11-Aug-2021,12-Aug-2021,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Bonus 1:2,10-Jun-2021,12-Jun-2021,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Annual General Meeting,26-Mar-2021,-,31-Mar-2021,07-Apr-2021,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Interim Dividend - Rs 2.50 Per Share,14-Aug-2020,17-Aug-2020,-,-,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Annual General Meeting,17-Jun-2020,-,19-Jun-2020,26-Jun-2020,-,Varun Beverages Limited,INE200M01013,-,
VBL,EQ,-,2, Annual General Meeting,30-Mar-2020,-,03-Apr-2020,10-Apr-2020,-,Varun Beverages Limited,INE200M01013,-,
