symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
VEDL,EQ,-,1,Interim Dividend - Rs 16 Per Share,26-Aug-2025,27-Aug-2025,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 7 Per Share,24-Jun-2025,24-Jun-2025,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 8.50 Per Share,24-Dec-2024,24-Dec-2024,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 20 Per Share,10-Sep-2024,10-Sep-2024,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 4 Per Share,02-Aug-2024,03-Aug-2024,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Annual General Meeting,04-Jul-2024,-,05-Jul-2024,09-Jul-2024,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 11 Per Share,24-May-2024,25-May-2024,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 11 Per Share,27-Dec-2023,27-Dec-2023,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Annual General Meeting,06-Jul-2023,-,07-Jul-2023,11-Jul-2023,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 18.50 Per Share,30-May-2023,30-May-2023,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 20.50 Per Share,06-Apr-2023,07-Apr-2023,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 12.50 Per Share,03-Feb-2023,04-Feb-2023,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 17.50 Per Share,29-Nov-2022,30-Nov-2022,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Annual General Meeting,03-Aug-2022,-,05-Aug-2022,09-Aug-2022,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend- Rs 19.50 Per Share,26-Jul-2022,27-Jul-2022,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend - Rs 31.5 Per Share,06-May-2022,09-May-2022,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1,Interim Dividend,09-Mar-2022,10-Mar-2022,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1, Interim Dividend - Rs  13.50 Per Share,17-Dec-2021,20-Dec-2021,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1, Interim Dividend - Rs 18.50 Per Share,08-Sep-2021,09-Sep-2021,-,-,-,Vedanta Limited,INE205A01025,-,
VEDL,EQ,-,1, Annual General Meeting,03-Aug-2021,-,05-Aug-2021,09-Aug-2021,-,Vedanta Limited,INE205A01025,-,
