symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
WIPRO,EQ,-,2,Interim Dividend - Rs 5 Per Share,28-Jul-2025,28-Jul-2025,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Interim Dividend - Rs 6 Per Share,28-Jan-2025,28-Jan-2025,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Bonus 1:1,03-Dec-2024,03-Dec-2024,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Annual General Meeting,16-Jul-2024,-,17-Jul-2024,18-Jul-2024,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Interim Dividend - Re 1 Per Share,24-Jan-2024,24-Jan-2024,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Annual General Meeting,10-Jul-2023,-,11-Jul-2023,12-Jul-2023,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Buy Back,16-Jun-2023,16-Jun-2023,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Interim Dividend - Re  1 Per Share,24-Jan-2023,25-Jan-2023,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Annual General Meeting,14-Jul-2022,-,18-Jul-2022,19-Jul-2022,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Interim Dividend - Rs 5 Per Share,05-Apr-2022,06-Apr-2022,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2,Interim Dividend - Re 1 Per Share,21-Jan-2022,24-Jan-2022,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Annual General Meeting,08-Jul-2021,-,12-Jul-2021,13-Jul-2021,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Interim Dividend - Re 1 Per Share,22-Jan-2021,25-Jan-2021,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Buyback,10-Dec-2020,11-Dec-2020,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Annual General Meeting,08-Jul-2020,-,10-Jul-2020,13-Jul-2020,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Interim Dividend - Re 1 Per Share,24-Jan-2020,27-Jan-2020,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Buyback,20-Jun-2019,21-Jun-2019,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Bonus 1:3,06-Mar-2019,07-Mar-2019,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Interim Dividend - Re 1 Per Share,29-Jan-2019,30-Jan-2019,-,-,-,Wipro Limited,INE075A01022,-,
WIPRO,EQ,-,2, Annual General Meeting,13-Jul-2018,-,17-Jul-2018,19-Jul-2018,-,Wipro Limited,INE075A01022,-,
