Symbol,Close,Daily_RSI,Weekly_RSI,Monthly_RSI,Last_Date
BHEL,392.25,53.636041925975235,67.53635405914335,67.79776973166096,2026-06-17
COALINDIA,455.75,48.04194235923328,54.44492467738528,60.216121205040714,2026-06-17
ITC,290.75,48.72277892483851,34.7767983832467,32.990978358605446,2026-06-17
M&M,3132.9,54.88362885047603,46.16930598761427,55.61547904837692,2026-06-17
SBIN,1026.5,60.804079338497445,51.58825139742627,58.81189953972554,2026-06-17
BOSCHLTD,39230.0,64.4554291659976,59.350865761256486,60.60905031645623,2026-06-17
ADANIPOWER,220.4,48.152802608979364,66.73019861605337,71.92893251919553,2026-06-17
CHOLAFIN,1679.2,64.40592917656431,56.04011634966493,57.85133792067001,2026-06-17
DLF,623.55,62.686398747011886,51.687745581486,46.212427295916285,2026-06-17
TATASTEEL,199.01,38.93237396879669,51.19179080771099,60.062086225552925,2026-06-17
MRF,129245.0,58.85233397762847,44.15235071994919,49.29128648323681,2026-06-17
TECHM,1462.4,50.52098098198606,49.67831423609073,50.11567233128922,2026-06-17
ONGC,245.0,27.252307422943673,40.12923440199864,48.755233647540216,2026-06-17
LICI,418.15,21.820078727945344,33.70633134427152,0.0,
ICICIGI,1790.5,52.64521910013719,47.19266043385188,49.92954308752647,2026-06-17
TORNTPHARM,4442.8,51.517771992141064,61.39272504882522,74.53282254816583,2026-06-17
BHARTIARTL,1875.7,58.28596950248705,48.76006216595556,58.55111766932928,2026-06-17
BAJAJ-AUTO,10042.0,44.7747741549463,54.950579410025604,59.756170592612364,2026-06-17
INDUSTOWER,413.85,43.06425038586462,47.58741178363481,56.36461480727291,2026-06-17
MARUTI,13630.0,60.14983574121198,47.711366855362414,52.81565431773924,2026-06-17
CIPLA,1350.8,43.08017440828038,47.19850427277835,47.383123858656816,2026-06-17
ETERNAL,258.4,58.18349346219392,50.41859954902431,56.03164925116862,2026-06-17
ADANIENT,2951.9,64.1055495329176,69.51620947109889,58.94436811170143,2026-06-17
BAJFINANCE,958.4,62.144613899558756,53.76479163612511,55.901557399974024,2026-06-17
PFC,431.75,50.64761217966291,53.798570395517174,55.70138252337066,2026-06-17
CANBK,135.24,54.347676719757935,49.390921145108265,57.38955757449867,2026-06-17
AXISBANK,1350.9,63.23499698633,57.9656628554223,60.04884672083526,2026-06-17
PIDILITIND,1578.2,73.84154135514954,65.70271839938803,57.15663928690757,2026-06-17
PIIND,2835.2,48.24707997889232,39.4446798180925,40.80850801476986,2026-06-17
HDFCLIFE,581.8,48.594270407948486,38.603812996945464,39.62379312446926,2026-06-17
ADANIPORTS,1828.6,60.31668039046691,71.58214664766525,67.15858944249476,2026-06-17
SBICARD,625.7,55.27094649877464,35.36708641148617,37.271787284651765,2026-06-17
IOC,145.42,57.87457576841253,47.6513424498128,50.548894937434945,2026-06-17
ICICIPRULI,503.65,51.64721549451687,40.65239081383258,40.17095696441293,2026-06-17
DABUR,429.0,44.60194303231567,39.885305757178564,38.29832591233413,2026-06-17
INDUSINDBK,936.2,58.12342866511936,57.977784866573835,48.175307535406574,2026-06-17
NAUKRI,1017.05,58.945338137812065,42.72803178876247,39.03623980946775,2026-06-17
IRFC,100.44,57.3136931896649,43.83101706493276,44.68706212414581,2026-06-17
LTIM,4504.0,19.839138677423108,30.183376839980752,42.06654052118401,2026-02-26
BERGEPAINT,511.7,54.67106247774174,55.129219307963915,49.62288740292211,2026-06-17
HINDALCO,1007.9,39.986978979621966,54.82369687162063,64.15905266338092,2026-06-17
GRASIM,3150.4,63.85128167961396,66.36173202929739,64.85420715477157,2026-06-17
VBL,544.05,64.89177043874878,65.20063467195652,56.37573343057328,2026-06-17
ABB,7164.0,58.94195547287868,61.185069628016265,63.85227378512453,2026-06-17
POWERGRID,286.35,41.09292393880136,45.635591023950084,51.61430611456393,2026-06-17
ULTRACEMCO,11373.0,51.68225540405612,46.68357238584027,51.535067342912775,2026-06-17
DIVISLAB,6663.5,51.47202944392972,57.53634898118337,60.23277903129906,2026-06-17
RVNL,245.14,44.6063778839943,37.03341047836747,42.913745522526405,2026-06-17
SIEMENS,3725.4,55.120224180700774,57.64192871766793,47.79189613787685,2026-06-17
JSWENERGY,572.0,54.519540288165835,58.122982090913695,56.694268863676236,2026-06-17
PNB,108.87,56.07173567344683,46.729787323279616,51.614382736079094,2026-06-17
ATGL,702.65,51.27775975007164,60.50819696262335,50.0783839552209,2026-06-17
RELIANCE,1332.7,52.475388213151675,44.28590249254699,47.42291368697685,2026-06-17
BRITANNIA,5232.0,46.336802273926445,36.37252529246778,47.255377007472916,2026-06-17
GAIL,175.03,65.70978360101753,59.00754481402589,51.839949068393146,2026-06-17
HINDUNILVR,2197.6,53.287983068552535,45.73411083013048,44.43280341425411,2026-06-17
HEROMOTOCO,5016.4,52.85721167175749,45.716913567262324,52.8757205932645,2026-06-17
ADANIENSOL,1491.0,56.044071852252415,67.8156922828123,63.894366742261354,2026-06-17
APOLLOHOSP,8427.5,61.11912807977284,64.532102938831,65.79876674187304,2026-06-17
HINDZINC,572.55,42.19340742095063,49.549321821023895,56.090455296094746,2026-06-17
ADANIGREEN,1465.8,57.07308834061626,70.68162978369007,57.55447206506019,2026-06-17
SUNPHARMA,1820.4,54.52950624368532,56.07606842307449,58.692649472625135,2026-06-17
JSWSTEEL,1287.2,52.32361974487624,61.4589149424616,66.13639446029009,2026-06-17
BEL,419.85,53.232810207694065,49.58890314767903,61.88199078591091,2026-06-17
TATAMOTORS,405.85,16.38818814634142,25.63287879971449,33.21733479429206,2025-10-23
WIPRO,184.47,40.02493941893599,34.96461378172819,36.95495939203374,2026-06-17
NTPC,355.55,35.05633846186171,43.539686805273405,53.62271277622628,2026-06-17
BANKBARODA,281.85,61.10209267698822,53.36407761178705,56.83168463739139,2026-06-17
AUBANK,1020.85,58.03355065096941,57.49439665965543,63.29620675158533,2026-06-17
KOTAKBANK,404.5,65.36755802931236,54.56068749032769,52.67097005108236,2026-06-17
GODREJCP,1020.0,47.78721378967417,40.0018695349591,43.819897619411506,2026-06-17
DMART,4287.5,58.98190303572256,54.27351621046686,52.60936621652011,2026-06-17
ASIANPAINT,2738.0,64.92023207517536,62.94745155556014,53.124856792418875,2026-06-17
SHREECEM,24970.0,55.56294139695398,47.34415545813238,44.422076285386346,2026-06-17
VEDL,306.5,33.39407352722381,32.20730504479357,41.45631780002253,2026-06-17
EICHERMOT,7509.0,61.328178804597364,57.02192514457216,65.5743356250253,2026-06-17
SBILIFE,1793.6,48.31529602635889,44.2953703885477,53.31716544897811,2026-06-17
UPL,614.4,42.581176078359526,41.698649721275316,47.85167537184302,2026-06-17
LT,4207.7,66.26491185106923,58.72417755454448,60.4773081166777,2026-06-17
LODHA,914.8,54.235042139561024,47.61779142118377,44.84724470757259,2026-06-17
HAL,4460.5,60.116738074726,53.93656975792191,55.28391805007184,2026-06-17
MARICO,805.0,45.665778093435875,57.2095793183072,63.77227605320822,2026-06-17
COLPAL,2034.2,45.86172832072656,45.80078700062158,43.969192622329864,2026-06-17
BPCL,317.95,63.55353424564402,49.94568233050449,51.66642611670806,2026-06-17
TITAN,4380.5,61.07788103345199,57.51110164552472,60.976967289267655,2026-06-17
ADANITRANS,890.4,59.537861612407546,40.280781125638335,42.43408045754941,2023-08-23
HINDCOPPER,515.2,42.89115799225389,51.765630875992514,60.50660551965104,2026-06-17
JINDALSTEL,1135.8,35.1503288382536,47.38449391396094,59.41258660608627,2026-06-17
HDFCBANK,787.1,59.89396173046236,40.44789396258341,42.70733963657509,2026-06-17
SRF,2705.5,51.91037094048188,50.14469147427657,51.04041906077873,2026-06-17
NESTLEIND,1407.3,51.446615653467475,60.54297303519809,59.97691720654228,2026-06-17
HCLTECH,1166.8,48.3690465799054,34.93134177827615,38.053636867668445,2026-06-17
ICICIBANK,1336.8,63.90433579392826,53.08413277430681,55.79866936481082,2026-06-17
BAJAJFINSV,1764.6,53.38606354866093,45.015185104127596,47.7030876256984,2026-06-17
TCS,2223.0,45.36579518735205,31.501754753302762,30.617983945286056,2026-06-17
ZOMATO,215.19,49.73023869090013,44.93032633844491,56.60788368418204,2025-04-08
INFY,1157.7,46.71314046864193,37.69702275690129,34.475014279955545,2026-06-17
RECLTD,358.75,59.803083460980936,52.153344535901525,48.1963696002431,2026-06-17
TATACONSUM,1124.5,43.9659602539893,48.34220113662121,53.5090656215094,2026-06-17
TRENT,3102.8,37.83720201019194,37.50011044180421,40.129486422585494,2026-06-17
DRREDDY,1269.0,43.8092830095791,48.798224038407525,53.13474424173558,2026-06-17
3MINDIA,33060.0,59.02190391070316,51.37586108036051,52.5323006936776,2026-06-17
TATAELXSI,4094.6,42.40257800691403,37.1837408275714,34.45959942294297,2026-06-17
INDHOTEL,699.1,65.02567279006783,56.33181843836285,54.605364709759016,2026-06-17
MOTHERSON,145.1,59.27097585086468,66.55953565055754,63.98773288645657,2026-06-17
PGHH,8995.5,33.795771683496426,25.115986342103113,28.4046681884288,2026-06-17
IRCTC,519.95,45.61963881927603,36.81346200082989,34.4655922168583,2026-06-17
HAVELLS,1196.8,52.44236513385608,39.220728387580195,39.524178301762134,2026-06-17
TVSMOTOR,3448.7,52.728218666858055,48.275501699378616,62.60817496439116,2026-06-17
